ASX_code, Company_name, Listing_date, GICs_industry_group, Market_CapAHY,ASALEO CARE LIMITED,Not provided,Consumer Durables & Apparel,
APV,APPSVILLAGE AUSTRALIA LIMITED,27/08/2019,Software & Services,6667404
FCL,FINEOS CORPORATION HOLDINGS PLC,16/08/2019,Software & Services,1179555537
SZL,SEZZLE INC.,30/07/2019,Software & Services,1784431455
QFE,QUICKFEE LIMITED,11/07/2019,Diversified Financials,59994334
IXC,INVEX THERAPEUTICS LTD,5/07/2019,Pharmaceuticals, Biotechnology & Life Sciences,47346924
VGI,VGI PARTNERS LIMITED,21/06/2019,Diversified Financials,469097456
WSP,WHISPIR LIMITED,19/06/2019,Software & Services,308645766
RF1,REGAL INVESTMENT FUND,17/06/2019,Investment Trust/Fund,491602953
2BE,TUBI LIMITED,14/06/2019,Energy,N/A
VOL,VICTORY OFFICES LIMITED,14/06/2019,Real Estate,28412643
PBH,POINTSBET HOLDINGS LIMITED,12/06/2019,Consumer Services,2553110577
PGL,PROSPA GROUP LIMITED.,11/06/2019,Diversified Financials,167776609
VVA,VIVA LEISURE LIMITED,7/06/2019,Consumer Services,136866889
PKS,PKS HOLDINGS LIMITED,6/06/2019,Health Care Equipment & Services,90164560
RLT,RENERGEN LIMITED,6/06/2019,Energy,221506571
IAP,IRONGATE GROUP,28/05/2019,Real Estate,1006686235
TIP,TEAMINVEST PRIVATE GROUP LIMITED,24/05/2019,Diversified Financials,76994593
PCI,PERPETUAL CREDIT INCOME TRUST,14/05/2019,Investment Trust/Fund,420513387
360,LIFE360 INC.,10/05/2019,Software & Services,1096305017
MRZ,MONT ROYAL RESOURCES LIMITED,7/05/2019,Materials,9658562
PE1,PENGANA PRIVATE EQUITY TRUST,30/04/2019,Investment Trust/Fund,287662540
MOT,MCP INCOME OPPORTUNITIES TRUST,29/04/2019,Investment Trust/Fund,353983299
NXS,NEXT SCIENCE LIMITED,18/04/2019,Health Care Equipment & Services,293991255
RDY,READYTECH HOLDINGS LIMITED,17/04/2019,Software & Services,239030476
SGLLV,RICEGROWERS LIMITED,8/04/2019,Food, Beverage & Tobacco,430391416
EOF,ECOFIBRE LIMITED,29/03/2019,Pharmaceuticals, Biotechnology & Life Sciences,250646743
CBY,CANTERBURY RESOURCES LIMITED,7/03/2019,Materials,10291598
MPH,MEDILAND PHARM LIMITED,22/02/2019,Retailing,16263708
CLB,CANDY CLUB HOLDINGS LIMITED,19/02/2019,Food & Staples Retailing,47922722
A1G,AFRICAN GOLD LTD.,14/02/2019,Materials,21937883
UWL,UNITI GROUP LIMITED,13/02/2019,Telecommunication Services,2205513042
SPT,SPLITIT PAYMENTS LTD,29/01/2019,Software & Services,283955282
AMS,ATOMOS LIMITED,28/12/2018,Consumer Durables & Apparel,235961545
FIJ,FIJI KAVA LIMITED,20/12/2018,Household & Personal Products,13645404
OPH,OPHIR HIGH CONVICTION FUND,19/12/2018,Investment Trust/Fund,799998432
EX1,EXOPHARM LIMITED,18/12/2018,Pharmaceuticals, Biotechnology & Life Sciences,94258920
YRL,YANDAL RESOURCES LIMITED,14/12/2018,Materials,55378631
EMV,EMVISION MEDICAL DEVICES LTD,13/12/2018,Health Care Equipment & Services,217614547
TYM,TYMLEZ GROUP LIMITED,13/12/2018,Software & Services,11142987
HMD,HERAMED LIMITED,12/12/2018,Health Care Equipment & Services,48655591
CRS,CAPRICE RESOURCES LTD,5/12/2018,Materials,13548109
RVS,REVASUM INC.,4/12/2018,Semiconductors & Semiconductor Equipment,29047112
ALG,ARDENT LEISURE GROUP LIMITED,30/11/2018,Consumer Services,470111896
NVU,NANOVEU LIMITED,30/11/2018,Technology Hardware & Equipment,8552080
RDC,REDCAPE HOTEL GROUP,30/11/2018,Consumer Services,571522027
NWM,NORWEST MINERALS LIMITED,29/11/2018,Materials,9360255
QRI,QUALITAS REAL ESTATE INCOME FUND,27/11/2018,Investment Trust/Fund,420179732
COL,COLES GROUP LIMITED.,21/11/2018,Food & Staples Retailing,22450036784
SBW,SHEKEL BRAINWEIGH LTD,20/11/2018,Software & Services,16849250
HM1,HEARTS AND MINDS INVESTMENTS LIMITED,14/11/2018,Investment Trust/Fund,983247108
GSM,GOLDEN STATE MINING LIMITED,8/11/2018,Materials,11998512
